start	end	text
0	2840	こんにちは、大記憶FMです。今日もよろしくお願いします。
4060	4840	よろしくお願いします。
5920	8100	いや、帰ってきましたよ。無事京都から。
8320	8720	京都から。
9420	17940	はい。6月の金曜と土曜の3、4を使って、京都の秀武くんのところにお邪魔してきました。
18480	19820	いやー、楽しかったですね。
20280	21360	いや、めちゃめちゃ楽しかった。
21360	29200	いやー、楽しかったなー。なんかもう、週明けからの仕事がもう憂鬱でしょうがないよ。
30000	31320	楽しすぎて。
31980	36300	でも、結構その金曜日の夜から遊んだじゃないですか。
36760	36880	うん。
37220	45720	ま、星川さんたちは金曜日休み取って来てましたけど、僕は金曜日仕事して仕事終わり、もう6時に上がって。
46100	47120	はい。ありがとうございます。
47800	57220	遊んで。なんか結構6時に上がって遊ぶと、もうなんか、なんでしょうね、その日休みだった感ありますよね。
57620	57980	あー。
59700	59980	それ。
60000	62620	これ、いいね。めちゃめちゃいい気づきやね。なるほど。
62880	68960	うん。だからね、この普通の週末でしたけど、今3連休終わったところみたいな気持ちですね。
69300	71100	あー、それすごくいいね。
71180	71300	うん。
72260	73960	金曜日しっかり遊ぶっていう。
74300	74560	そう。
75240	75960	あー、なるほど。
76320	78600	ね。遊ぶ人がいればいいんですけど。
79920	81060	暗い話しすな。
83740	88020	でも確かに、最近はそれこそコロナもあってさ、
88880	89920	金曜の、
89920	92900	花金を楽しむってことってほぼないじゃないですか。
93160	93280	うん。
93700	95200	ほぼっていうか、もう全くないな。
96400	105980	なんかそこから思い返すと、今まではそんな気にはしてないで金曜遊んでたけど、ちょっと落ち着いて金曜遊んでみると、なんかいいのかもしれないね。
106320	108620	しっかり充実した時間が過ごせる気がする。
108760	109600	いや、そうなんですよね。
110020	118760	あと、遊び方も良かったなって思うのが、金曜の夜みんなで飲んで、で、土曜の朝にまたサウナの予定を入れたじゃん。
118800	118940	うん。
118940	119000	うん。
119640	125440	だから、金曜の夜でグダグダ飲んで、土曜昼まで寝るみたいな感じじゃないのも良かったんじゃない?
125460	126340	あー、確かに。
127520	133340	土曜にちゃんとこう、バトン渡せた金曜の夜だったから、そこが良かったんじゃないかなって。
133340	138120	ね。しかも土曜の朝の、そこがメインでしたからね。
138380	139600	あー、確かに確かに。
140120	140260	うん。
141260	145260	ちょっとじゃあ、金曜日のところから、どんな感じだったんですか?
145600	146140	あー、そうですね。
146140	148060	えっと、金曜の…
148060	156340	あの、友人と二人で、えっと、9時に東京駅に集合してから、もう、直行、京都ですね。
156840	164960	で、まあまあ、京都行くまではまあ、遊んだりなんだりヘラヘラしてたんですけど、京都駅着いたらすぐにタクシー乗って行きました、ルーマプラザ。
165240	166320	お、行きましたか。
166680	171780	行きましたよ。本当に。ずっとお勧めされてたので、一度は行った方がいいかなと。
172140	176560	で、もうあんな祇園の、まあ、本当に通りのとこでしたね。
176700	178040	八坂神社からこう、まあ、すごい。
178060	178680	そこ行くところの。
