start	end	text
0	5600	こんにちは、がいきおくFMです。今週も、ん? 今日もよろしくお願いします。
5600	6580	よろしくお願いします。
6580	7440	よろしくお願いします。
7440	8940	まるで毎週やってるかのような。
8940	10140	ね、言っちゃったけど。
10140	13140	よろしくお願いします。
13140	14520	最近サウナ行ってますか?
14520	17180	最近ね、今日行ってきたんですけど。
17180	18320	どちらに?
18320	22580	今日はね、梅湯を、梅湯に行ってきたんですけど、
22580	27800	あの、ツイッターでなんか、乱捨て代わりにしていいよって言ってるの見て。
27800	29800	あー、見た。俺も見た。
29800	32200	なんで梅湯のツイッター見てるんですか?
32200	34200	え?いや、見るでしょ。
34200	38540	見るでしょ、梅湯のツイッターは。
38540	44380	そう、ちょっと乱捨て代わりにしてみようと思って、今日は走ってきました。
44380	46380	あー、結構距離あるよね。
46380	49580	あー、えっとね、そう、梅湯自体にはチャリで行って、
49580	50080	うん。
50080	52320	で、梅湯に荷物を置いて、
52320	53320	あ、そういうことか。
53320	57120	そうそう。で、そっから鴨川沿いをちょっと南の方にも走って。
57120	58620	うわ、気持ちよさそう。
58620	61120	うん、よかった。今日めちゃくちゃ天気もよかったし。
61120	62620	そうだねー。
62620	63620	あったかくて。
63620	66620	あー、それいいなー、なるほど。
66620	67620	うん。
67620	72620	そっか、そこスタートでわーっと南下して走って、
72620	73620	うん。
73620	78620	で、サウナ入って、で、帰り自転車で風感じながら帰れるんだ。
78620	83120	そうですね。帰りはちょっと、あの、リアラボの方でビール飲んで帰りましたけど。
83120	86620	うわ、いいなー、それはいい休みだ。
86620	91120	ふふふ。っていう、最近のサウナ話でした。
91120	92120	いい入りですねー。
92120	96120	いや、これね、すごいよかったから、ちょっと来週もしようかなと思ってて。
96120	97620	あー、いいと思う。
97620	98620	うん。
98620	102120	なんかあの、まあ、足折けがする前、去年はさ、
102120	102620	うん。
102620	109620	もう基本、あの、近くにサウナがなかったからさ、スパメッツァをまだできる前とかはさ、
109620	110620	うんうん。
110620	114620	あの、なので、セントラルにあるサウナによく行ってたんですよ。
114620	115620	セントラル。
115620	118120	えーと、えー、ジム。
118120	119120	あ、ジムか。はいはい。
119120	121620	そうそうそうそう。そう、ちっちゃいジム。
121620	122120	うん。
122120	127620	はい。で、そこのジムで筋トレしてから入るサウナめっちゃよかったね、やっぱ。
127620	130120	あー、やっぱちょっと運動してからっていいですよね。
130120	138120	いい、いい。なんかやっぱ疲労感にこう、疲労感に比例してよくなる感じがあるよね。
138120	142120	あー、それ、前から提唱してますよね、確かに。
142120	142620	たしかに。
142620	144120	仕事きつい後とか。
144120	150620	あ、そうそうそうそう。そう、あんま疲れてないのに行ったときは、なんか、うん。
150620	155620	いや、悪くないんだけど、やっぱボロボロのときに行きたいなって思うがですね。
155620	156620	なるほど。
156620	159620	いいな、いい時間でしたね、それはそれはと。
159620	160620	うんうん。
162620	167620	私、先週、ん?本当は一緒に行く予定だったマルシに行ってきました。
167620	171620	あー、そうですね。あの、僕が風邪ひいて行けなかった。
171620	174620	はい。大丈夫でしたか?体調は。
174620	182620	体調ね、いや、そう、結構きつかったんですよ。なんか、先週の、すいません、ちょっと僕の話しちゃいますけど。
182620	183620	ぜひぜひ。
183620	187620	先週、先週か、木曜日休みだったじゃないですか。
187620	195620	木曜日が祝日で、金曜日平日同日休みみたいな感じの、木曜日から風邪をひき。
195620	196620	はい。
196620	203620	で、金曜日はもう会社休んで、木、金、土を日で寝込んでましたね。
203620	205620	あー、そんなにやられてたんだ。
205620	211620	そうなんですよ。なんかね、熱はそんなに出てなかったんですけど、ずっとなんか微妙にだるいみたいな感じで。
211620	212620	うんうんうん。
212620	218620	だから、そんなにずっと寝込んでたというよりは、まあ家でなんかNetflixが見れる体力はあったんですけど。
218620	219620	はいはいはい。
219620	221620	うん、そんな感じでしたね。
221620	224620	ひでたけの会社、熱出たら休めんの?
224620	228620	それは休めるでしょう。
228620	229620	けびょうは?
229620	234620	けびょう、けびょうで休むこともできるんじゃないですか、それはそれは。
234620	235620	ね。
235620	238620	いや、普段ほんとにあなた平日休めないじゃん。
238620	240620	休めないですね。
240620	246620	今回の木、金ってさ、元気だったらけびょうで来てほしかったよ。
246620	248620	それは怒られるか。
248620	251620	それはちょっと、まあ、そうそう人によるかもしれないです。
251620	254620	はい、様式があるから失礼しました。
254620	256620	そうか、今も元気?
256620	257620	今も元気です。
257620	258620	走れるくらいだもんね。
258620	259620	そうですね。
259620	260620	うん。
260620	264620	あの、月下とかくらいまでちょっと咳とか、咳込んではいましたけど。
264620	265620	ただの風邪?
265620	267620	うん、ただの風邪でした。
267620	274620	一応インフルの検査も受けたし、コロナの簡易検査キットも行ったんですけど。
274620	275620	うんうんうん。
275620	276620	どっちも陰性で。
276620	283620	もしかしたらインフルはタイミング的に出ないかもって医者は言ってましたけど。
283620	286620	ただ全然熱が出なかったんで、
286620	291620	行っても7度5分とか8度いかないくらいだったんで、
291620	294620	まあインフルじゃないんじゃないかなって感じですね。
294620	295620	いや、治ってよかったよ。
295620	296620	うん、よかった。
296620	298620	お疲れ様です、本当に。
298620	302620	日曜日は、日曜日の午後くらいから治ったんですよ。
302620	303620	うんうんうん。
303620	309620	で、もう病み上がりだけど、ここまで寝込んだし、ちょっと遊び行こうと思って。
309620	310620	バカじゃない?
312620	314620	4日間休んだしね。
314620	317620	いやそうなんですよ、もう3日、3日半くらい。
317620	319620	3日半か、もったいない気するよね。
319620	327620	しかもさ、なんかタイミング的にちょうど、なんていうの、会社に一番ダメージを与えないタイミングで休んで。
327620	328620	超偉いじゃん。
328620	330620	そう、超偉い感じで休んで。
330620	345620	で、そのくせ、なんか日曜日の午後治ってるけど、なんか次の日に響いたら嫌だから休むとか、ちょっとこう尺に触るというか、もういいんじゃないかっていう気持ちになって。
345620	346620	うんうん。
346620	356620	仮にね、仮に振り返して月曜日休むことになっても、もういいんじゃないかっていう、なんかね、ちょっと気持ちになってしまい。
356620	357620	ちょっとおかしなテンションで。
357620	362620	そうそうそうそう。ちょっとね、遊びに行っちゃいましたね。
362620	363620	え、どこ行ったの?
363620	365620	あの、神戸まで行ってきて。
365620	367620	うん、行ったね。
367620	370620	神戸のサウナ&スパに行ってきたんですけど。
